Name,Country,Users,Purpose,Orbit_Class,Period_min,Launch_Date,Launch_Site,Launch_Vehicle
Cosmos 2541,Russia,Military,Earth Observation,Elliptical,717.7,26-09-2019,Plesetsk Cosmodrome,Soyuz 2.1b
Cosmos 2546,Russia,Military,Earth Observation,Elliptical,713.9,22-05-2020,Plesetsk Cosmodrome,Soyuz 2.1b
El Camino Real,USA,Commercial,Technology Development,LEO,95.2,05-07-2019,Vostochny Cosmodrome,Soyuz 2.1b
Electro-L1,Russia,Government,Earth Observation,GEO,1423.35,20-01-2011,Baikonur Cosmodrome,Zenit
Electro-L2,Russia,Government,Earth Observation,GEO,1434.47,11-12-2015,Baikonur Cosmodrome,Zenit
Electro-L3,Russia,Government,Earth Observation,GEO,1420.05,24-12-2019,Baikonur Cosmodrome,Proton
ELFIN-A,USA,Commercial/Civil,Space Science,LEO,93.7,15-09-2018,Vandenberg AFB,Delta 2
ELFIN-Star,USA,Commercial/Civil,Space Science,LEO,93.7,15-09-2018,Vandenberg AFB,Delta 2
ELISA-E12,France,Military,Earth Observation,LEO,98.43,17-12-2011,Guiana Space Center,Soyuz 2/Fregat
ELISA-E24,France,Military,Earth Observation,LEO,98.43,17-12-2011,Guiana Space Center,Soyuz 2/Fregat
ELISA-W11,France,Military,Earth Observation,LEO,98.45,17-12-2011,Guiana Space Center,Soyuz 2/Fregat
ELISA-W23,France,Military,Earth Observation,LEO,98.46,17-12-2011,Guiana Space Center,Soyuz 2/Fregat
EMISat,India,Military,Earth Observation,LEO,99.75,01-04-2019,Satish Dhawan Space Centre,PSLV
Cosmos 2525,Russia,Military,Earth Observation,LEO,90.8,29-03-2018,Plesetsk Cosmodrome,Soyuz 2.1b
EOS-1,India,Military,Earth Observation,LEO,580,07-11-2020,Satish Dhawan Space Centre,PSLV
Terra,USA/Canada/Japan,Government,Earth Observation,LEO,98.8,18-12-1999,Vandenberg AFB,Atlas 2AS
Aura,USA,Government,Earth Observation,LEO,98.8,15-07-2004,Vandenberg AFB,Delta 2
Aqua,USA/Japan/Brazil,Government,Earth Observation,LEO,98.8,04-05-2002,Vandenberg AFB,Delta
Cosmos 2548,Russia,Military,Technology Development,LEO,115.9,03-12-2020,Plesetsk Cosmodrome,Soyuz 2-1b
ERG,Japan,Government,Space Science,Elliptical,580,20-12-2016,Uchinoura Space Center,Epsilon
EROS B-1,Israel,Military/Commercial,Earth Observation,LEO,94.8,25-04-2006,Svobodny Cosmodrome,Start 1
ESAIL,ESA,Government,Earth Observation,LEO,95,02-09-2020,Guiana Space Center,Vega
ESEO,ESA,Civil,Earth Observation/Earth Science,LEO,96.3,03-12-2018,Vandenberg AFB,Falcon 9
Es'hail-1,Multinational,Commercial,Communications,GEO,1434.03,29-08-2013,Guiana Space Center,Ariane 5 ECA
Es'hail-2,Qatar,Military/Commercial,Communications,GEO,1436.1,15-11-2018,Cape Canaveral,Falcon 9
USA 286,USA,Military,Technology Development,GEO,1410.06,22-04-2018,Cape Canaveral,Atlas 5
E-TBEx A,USA,Government,Technology Development,Elliptical,96.10,25-06-2019,Cape Canaveral,Falcon Heavy
E-TBEx B,USA,Government,Technology Development,Elliptical,96.10,25-06-2019,Cape Canaveral,Falcon Heavy
ETRSS-1,Ethiopia,Government,Earth Observation,LEO,97.10,20-12-2019,Taiyuan Launch Center,Long March 4B
ET-SMART-RSS,Ethiopia,Government,Earth Observation,LEO,95.40,22-12-2020,Wenchang Space Center,Long March 8
Eu:CROPIS,Germany,Government,Technology Development,LEO,96.3,03-12-2018,Vandenberg AFB,Falcon 9
Eutelsat 10A,Multinational,Commercial,Communications,GEO,1436.09,03-04-2009,Baikonur Cosmodrome,Proton M
Eutelsat 113 West A,Multinational,Commercial,Communications,GEO,1436.1,27-05-2006,Guiana Space Center,Ariane 5 ECA
Eutensat 115 West B,Multinational,Commercial,Communications,GEO,1436,02-03-2015,Cape Canaveral,Falcon 9
Eutelsat 117 West A,Multinational,Commercial,Communications,GEO,1436.1,26-03-2013,Baikonur Cosmodrome,Proton M
Eutelsat 117 West B,Multinational,Commercial,Communications,GEO,1436.1,15-06-2016,Cape Canaveral,Falcon 9
Eutelsat 133 West A,Multinational,Commercial,Communications,GEO,1436.1,08-03-2001,Guiana Space Center,Ariane 5
Eutelsat 16A,Multinational,Commercial,Communications,GEO,1436.12,07-10-2011,Xichang Satellite Launch Center,Long March 3B
Eutelsat 172B,Multinational,Commercial,Communications,GEO,1436.1,01-06-2017,Guiana Space Center,Ariane 5
Eutelsat 174A,Multinational,Commercial,Communications,GEO,1436.1,29-12-2005,Baikonur Cosmodrome,Proton M
Eutelsat 21B,Multinational,Commercial,Communications,GEO,1436.12,10-11-2012,Guiana Space Center,Ariane 5 ECA
Eutelsat 33E,Multinational,Commercial,Communications,GEO,1436.07,11-02-2009,Guiana Space Center,Ariane 5 ECA
Eutelsat 36A,Multinational,Commercial,Communications,GEO,1436.08,24-05-2000,Cape Canaveral,Atlas 3A
Eutelsat 36B,Multinational,Commercial,Communications,GEO,1436.09,24-11-2009,Baikonur Cosmodrome,Breeze M
Eutelsat 3B,Multinational,Commercial,Communications,GEO,1436.1,26-05-2014,Sea Launch Odyssey,Zenit 3SL
Eutelsat 5 West A,Multinational,Commercial,Communications,GEO,1436.08,05-07-2002,Guiana Space Center,Ariane 5
Eutelsat 5 West B,Multinational,Commercial,Communications,GEO,1436.01,09-10-2019,Baikonur Cosmodrome,Proton
Eutelsat 65 West A,Multinational,Commercial,Communications,GEO,1436.07,09-03-2016,Guiana Space Center,Ariane 5
Eutelsat 7 West A,Multinational,Commercial,Communications,GEO,1436.09,24-09-2011,Sea Launch Odyssey,Zenit 3SL
Eutelsat 70B,Multinational,Commercial,Communications,GEO,1436.28,03-12-2012,Sea Launch Odyssey,Zenit 3SL
Eutelsat 7A,Multinational,Commercial,Communications,GEO,1436.07,15-03-2004,Baikonur Cosmodrome,Proton M
Eutelsat 7B,Multinational,Commercial,Communications,GEO,1436.21,14-05-2013,Baikonur Cosmodrome,Proton M
Eutelsat 7C,Multinational,Commercial,Communications,GEO,1436,20-06-2019,Guiana Space Center,Ariane 5
Eutelsat 8 West B,Multinational,Commercial,Communications,GEO,1436.1,20-08-2015,Guiana Space Center,Ariane 5
Eutelsat 9B,Multinational,Commercial,Communications,GEO,1436.06,29-01-2016,Baikonur Cosmodrome,Proton
Eutelsat Hot Bird 13B,Multinational,Commercial,Communications,GEO,1436.06,04-08-2006,Baikonur Cosmodrome,Proton/Breeze M
Eutelsat Hot Bird 13C,Multinational,Commercial,Communications,GEO,1436.09,20-12-2008,Guiana Space Center,Ariane 5
Eutelsat Hot Bird 13E,Multinational,Commercial,Communications,GEO,1436.1,11-03-2006,Guiana Space Center,Ariane 5
Eutelsat KA-SAT 9A,Multinational,Commercial,Communications,GEO,1436.01,26-12-2010,Baikonur Cosmodrome,Proton
Eutelsat Konnect,Multinational,Commercial,Communications,GEO,1436,16-01-2020,Guiana Space Center,Ariane 5
exactView 1,Canada,Commercial,Communications,LEO,101.2,22-07-2012,Baikonur Cosmodrome,Soyuz-Fregat
exactView 6,Canada,Commercial,Communications,LEO,98,17-08-2011,Dombarovsky Air Base,Dnepr
exactView 9,Canada,Commercial,Communications,LEO,97.5,28-09-2015,Satish Dhawan Space Centre,PSLV C-30
eXCITE,USA,Military,Technology Development,LEO,96.3,03-12-2018,Vandenberg AFB,Falcon 9
Exoconnect,Germany,Commercial,Technology Development,LEO,95.2,05-07-2019,Vostochny Cosmodrome,Soyuz 2.1b
Express 103,Russia,Commercial,Communications,GEO,1436.1,30-07-2020,Baikonur Cosmodrome,Proton M
Express 80,Russia,Commercial,Communications,GEO,1436.1,30-07-2020,Baikonur Cosmodrome,Proton M
Express AMU1,Russia,Commercial,Communications,GEO,1436.1,24-12-2015,Baikonur Cosmodrome,Proton M
Express-AM3,Russia,Commercial,Communications,GEO,1436.1,24-06-2005,Baikonur Cosmodrome,Proton K
Express-AM33,Russia,Commercial,Communications,GEO,1436.1,28-01-2008,Baikonur Cosmodrome,Proton M
Express-AM44,Russia,Commercial,Communications,GEO,1446.57,11-02-2009,Baikonur Cosmodrome,Proton M
Express-AM5,Russia,Commercial,Communications,GEO,1430.6,26-12-2013,Baikonur Cosmodrome,Proton M
Express-AM6,Russia,Commercial,Communications,GEO,1440.09,21-10-2014,Baikonur Cosmodrome,Proton M
Express-AM7,Russia,Commercial,Communications,GEO,1436.1,18-03-2015,Baikonur Cosmodrome,Proton M
Express-AM8,Russia,Commercial,Communications,GEO,1436.09,14-09-2015,Baikonur Cosmodrome,Proton DM
Express-AT1,Russia,Commercial,Communications,GEO,1436.4,15-03-2014,Baikonur Cosmodrome,Proton M
Express-AT2,Russia,Commercial,Communications,GEO,1429.75,15-03-2014,Baikonur Cosmodrome,Proton M
ExSeedSat-1,India,Commercial,Communications,LEO,96.3,03-12-2018,Vandenberg AFB,Falcon 9
Eyesat,ESA,Government,Space Science,LEO,94.9,18-12-2019,Guiana Space Center,Soyuz
FACSAT-1,Colombia,Military,Earth Observation,LEO,95,29-11-2018,Satish Dhawan Space Centre,PSLV
FalconEye-2,United Arab Emirates,Military,Earth Observation,LEO,96.7,02-12-2020,Guiana Space Center,Soyuz ST-A
Falconsat-3,USA,Military/Civil,Technology Development,LEO,95.4,09-03-2007,Cape Canaveral,Atlas 5
Falconsat-6,USA,Military/Civil,Technology Development,LEO,96.3,03-12-2018,Vandenberg AFB,Falcon 9
Falconsat-7,USA,Military/Civil,Technology Development,Elliptical,96.2,25-06-2019,Cape Canaveral,Falcon Heavy
USA 300,USA,Military/Civil,Technology Development,LEO,92.3,17-05-2020,Cape Canaveral,Atlas 5
USA 222,USA,Military/Civil,Technology Development,LEO,97.54,20-11-2010,Kodiak Launch Complex,Minotaur 4
Fengmaniu-1,China,Commercial,Technology Development,LEO,94,02-02-2018,Jiuquan Satellite Launch Center,Long March 2D
Fengniao 1A,China,Government,Technology Development,LEO,94.49,20-11-2012,Taiyuan Launch Center,Long March 2C
Fengyun 2F,China,Government,Earth Observation,GEO,1436.19,12-01-2012,Xichang Satellite Launch Center,Long March 3A
Fengyun 2G,China,Government,Earth Observation,GEO,1436.02,31-12-2014,Xichang Satellite Launch Center,Long March 3A
Fengyun 4H,China,Government,Earth Observation,GEO,1436.1,05-06-2018,Xichang Satellite Launch Center,Long March 3A
Fengyun 3B,China,Government,Earth Observation,LEO,101.5,04-11-2010,Taiyuan Launch Center,Long March 4C
Fengyun 3C,China,Government,Earth Observation,LEO,101.45,23-09-2013,Taiyuan Launch Center,Long March 4C
Fengyun 3D,China,Government,Earth Observation,LEO,101.1,14-11-2017,Taiyuan Launch Center,Long March 4C
Fengyun 4A,China,Government,Earth Observation,GEO,1436,10-12-2016,Xichang Satellite Launch Center,Long March 3B
Fermi Gamma-Ray Space Telescope,USA,Government,Space Science,LEO,95.60,11-06-2008,Cape Canaveral,Delta 2
USA 215,USA,Military,Earth Observation,LEO,107.35,21-09-2010,Vandenberg AFB,Atlas 5
USA 234,USA,Military,Earth Observation,LEO,107.00,03-04-2012,Vandenberg AFB,Delta 4
USA 247,USA,Military,Earth Observation,LEO,106.70,06-12-2013,Vandenberg AFB,Atlas 5
USA 267,USA,Military,Earth Observation,LEO,106.70,10-02-2016,Vandenberg AFB,Delta 4
USA 281,USA,Military,Earth Observation,LEO,106.20,12-01-2018,Vandenberg AFB,Delta 4
Firebird-C,USA,Government/Civil,Space Science,LEO,95.70,31-01-2015,Vandenberg AFB,Delta 2
Firebird-D,USA,Government/Civil,Space Science,LEO,97.70,31-01-2015,Vandenberg AFB,Delta 2
FloripaSat-1,Brazil,Civil,Educational,LEO,97.10,20-12-2019,Taiyuan Launch Center,Long March 4B
FLP,Germany,Civil,Earth Observation/Space Science,LEO,96.60,14-07-2017,Baikonur Cosmodrome,Soyuz 2.1a
USA 46,USA,Military,Communications,GEO,"1,436.13",25-09-1989,Cape Canaveral,Atlas Centaur
FormoSat-5,Taiwan,Government,Earth Observation,LEO,99.10,25-08-2017,Vandenberg AFB,Falcon 9
FORTÉ ,USA,Government,Earth Observation,LEO,101,29-08-1997,Vandenberg AFB,Pegasus XL
Fox-1A,USA,Civil,Communications/Technology Development,LEO,97.7,08-10-2015,Cape Canaveral,Atlas 5
Fox-1Cliff,USA,Civil,Communications,LEO,96.3,03-12-2018,Vandenberg AFB,Falcon 9
Fox-1D,USA,Civil,Communications/Technology Development,LEO,94.6,11-01-2018,Satish Dhawan Space Centre,PSLV
FSSCAT-A,ESA,Government,Earth Observation,LEO,94.4,02-09-2020,Guiana Space Center,Vega
FSSCAT-B,ESA,Government,Earth Observation,LEO,94.4,02-09-2020,Guiana Space Center,Vega
FUNCube-1 (AO-73),Netherlands,Civil,Communications,LEO,97.4,21-11-2013,Dombarovsky Air Base,Dnepr
Galaxy-11,USA,Commercial,Communications,GEO,1436.11,21-01-1999,Guiana Space Center,Ariane 4
Galaxy-12,USA,Commercial,Communications,GEO,1436.07,09-04-2003,Guiana Space Center,Ariane 5
Galaxy-13,USA/Japan,Commercial,Communications,GEO,1436.07,01-10-2003,Sea Launch Odyssey,Zenit 3
Galaxy-14,USA,Commercial,Communications,GEO,1436.07,13-08-2005,Baikonur Cosmodrome,Soyuz-Fregat
Galaxy-15,USA,Commercial,Communications,GEO,1436.07,13-10-2005,Guiana Space Center,Ariane 5
Galaxy-16,USA,Commercial,Communications,GEO,1436.1,18-06-2006,Sea Launch Odyssey,Zenit 3SL
Galaxy-17,USA,Commercial,Communications,GEO,1436.1,04-05-2007,Guiana Space Center,Ariane 5 ECA
Galaxy-18,USA,Commercial,Communications,GEO,1436.1,21-05-2008,Sea Launch Odyssey,Zenit 3SL
Galaxy-19,USA,Commercial,Communications,GEO,1436.1,24-09-2008,Sea Launch Odyssey,Zenit 3SL
Galaxy-25,USA,Commercial,Communications,GEO,1436.08,24-05-1997,Baikonur Cosmodrome,Proton K
Galaxy-28,USA,Commercial,Communications,GEO,1436.1,23-06-2005,Sea Launch Odyssey,Zenit 3SL
Galaxy-30,USA,Commercial,Communications,GEO,1422.1,15-08-2020,Guiana Space Center,Ariane 5
Galaxy-3C,USA,Commercial,Communications,GEO,1436.11,15-06-2002,Sea Launch Odyssey,Zenit 3SL
Galileo FOC FM1,ESA,Commercial,Navigation/Global Positioning,Elliptical,776.25,22-08-2014,Guiana Space Center,Soyuz-ST
Galileo FOC FM10,ESA,Commercial,Navigation/Global Positioning,MEO,847.01,24-05-2016,Guiana Space Center,Soyuz-ST
Galileo FOC FM11,ESA,Commercial,Navigation/Global Positioning,MEO,856.9,24-05-2016,Guiana Space Center,Soyuz-ST
Galileo FOC FM12,ESA,Commercial,Navigation/Global Positioning,MEO,846,17-11-2016,Guiana Space Center,Ariane 5
Galileo FOC FM13,ESA,Commercial,Navigation/Global Positioning,MEO,834,17-11-2016,Guiana Space Center,Ariane 5
Galileo FOC FM14,ESA,Commercial,Navigation/Global Positioning,MEO,847,17-11-2016,Guiana Space Center,Ariane 5
