Name,Period_Start,Period_End,Possible_Impacts,Asteroid_Magnitude,Diameter
2013 BR15,2107,2110,2,25.1,0.032
2016 LG10,2108,2108,3,25.6,0.026
2014 OX3,2108,2108,1,27.8,0.009
2007 CS5,2108,2109,2,24.5,0.042
2016 FZ13,2108,2114,6,28.3,0.007
2016 EM156,2108,2116,5,27.9,0.009
2016 AU193,2109,2109,1,25.3,0.03
2008 OO8,2109,2109,1,25.2,0.031
2015 FC345,2109,2109,1,27.8,0.009
2014 QJ365,2109,2109,1,27.4,0.011
2014 OQ392,2109,2109,1,22.8,0.093
2005 SO1,2110,2110,8,25.4,0.028
2011 UR63,2110,2110,2,25.7,0.024
2016 TQ2,2110,2115,7,26.4,0.017
2016 SA2,2110,2116,9,28.1,0.008
2009 HS44,2111,2111,1,26.6,0.017
2013 WZ44,2111,2111,1,25.7,0.025
1993 UA,2111,2111,2,25.4,0.028
2012 TU231,2111,2111,1,26.2,0.02
2014 WU200,2111,2111,2,28.9,0.005
2010 UZ7,2111,2111,1,24.7,0.039
2004 DA53,2111,2112,3,27.9,0.009
2009 FZ10,2111,2115,5,25.5,0.027
2016 WN1,2112,2112,1,25.3,0.029
2016 TB57,2112,2112,1,26.1,0.02
2010 UC7,2112,2112,8,24.7,0.038
2012 BA102,2112,2112,1,26.5,0.017
2014 CE,2112,2112,1,27,0.013
2016 TC57,2112,2112,1,27,0.013
2004 XG29,2112,2112,1,25.4,0.029
2015 PL57,2112,2112,1,25.8,0.024
2009 DM40,2112,2112,2,26.6,0.016
2014 HC196,2112,2112,1,25.2,0.031
2011 YQ1,2113,2113,1,25.6,0.026
2016 GU2,2113,2113,1,24.1,0.052
2011 UA64,2113,2113,1,27.1,0.013
2000 WJ107,2114,2114,10,23.1,0.081
2016 FV13,2114,2114,1,25.9,0.023
2015 DD54,2114,2114,1,25.4,0.028
2015 EG,2115,2115,1,25.7,0.025
2014 KW76,2115,2115,1,28,0.008
2012 FN,2115,2115,1,29.2,0.005
101955 Bennu (1999 RQ36),2175,2199,78,20.2,0.49
410777 (2009 FD),2185,2198,7,22.1,0.16
